country_id,country
1,Argentina
2,Australia
3,Austria
4,Belgium
5,Brazil
6,Bulgaria
7,Canada
8,Chile
9,China
10,Colombia
11,Costa Rica
12,Croatia
13,Cyprus
14,Czech Republic
15,Denmark
16,Estonia
17,Finland
18,France
19,Germany
20,Greece
21,Hungary
22,IEA Total
23,Iceland
24,India
25,Ireland
26,Italy
27,Japan
28,Korea
29,Latvia
30,Lithuania
31,Luxembourg
32,Malta
33,Mexico
34,Montenegro
35,Netherlands
36,New Zealand
37,North Macedonia
38,Norway
39,OECD Americas
40,OECD Asia Oceania
41,OECD Europe
42,OECD Total
43,Poland
44,Portugal
45,Republic of Turkiye
46,Romania
47,Serbia
48,Slovak Republic
49,Slovenia
50,Spain
51,Sweden
52,Switzerland
53,Turkiye
54,United Kingdom
55,United States
