date_id,year,month,date_start,month_name,year_month
1,2010,1,2010-01-01,January,2010-01
2,2010,2,2010-02-01,February,2010-02
3,2010,3,2010-03-01,March,2010-03
4,2010,4,2010-04-01,April,2010-04
5,2010,5,2010-05-01,May,2010-05
6,2010,6,2010-06-01,June,2010-06
7,2010,7,2010-07-01,July,2010-07
8,2010,8,2010-08-01,August,2010-08
9,2010,9,2010-09-01,September,2010-09
10,2010,10,2010-10-01,October,2010-10
11,2010,11,2010-11-01,November,2010-11
12,2010,12,2010-12-01,December,2010-12
13,2011,1,2011-01-01,January,2011-01
14,2011,2,2011-02-01,February,2011-02
15,2011,3,2011-03-01,March,2011-03
16,2011,4,2011-04-01,April,2011-04
17,2011,5,2011-05-01,May,2011-05
18,2011,6,2011-06-01,June,2011-06
19,2011,7,2011-07-01,July,2011-07
20,2011,8,2011-08-01,August,2011-08
21,2011,9,2011-09-01,September,2011-09
22,2011,10,2011-10-01,October,2011-10
23,2011,11,2011-11-01,November,2011-11
24,2011,12,2011-12-01,December,2011-12
25,2012,1,2012-01-01,January,2012-01
26,2012,2,2012-02-01,February,2012-02
27,2012,3,2012-03-01,March,2012-03
28,2012,4,2012-04-01,April,2012-04
29,2012,5,2012-05-01,May,2012-05
30,2012,6,2012-06-01,June,2012-06
31,2012,7,2012-07-01,July,2012-07
32,2012,8,2012-08-01,August,2012-08
33,2012,9,2012-09-01,September,2012-09
34,2012,10,2012-10-01,October,2012-10
35,2012,11,2012-11-01,November,2012-11
36,2012,12,2012-12-01,December,2012-12
37,2013,1,2013-01-01,January,2013-01
38,2013,2,2013-02-01,February,2013-02
39,2013,3,2013-03-01,March,2013-03
40,2013,4,2013-04-01,April,2013-04
41,2013,5,2013-05-01,May,2013-05
42,2013,6,2013-06-01,June,2013-06
43,2013,7,2013-07-01,July,2013-07
44,2013,8,2013-08-01,August,2013-08
45,2013,9,2013-09-01,September,2013-09
46,2013,10,2013-10-01,October,2013-10
47,2013,11,2013-11-01,November,2013-11
48,2013,12,2013-12-01,December,2013-12
49,2014,1,2014-01-01,January,2014-01
50,2014,2,2014-02-01,February,2014-02
51,2014,3,2014-03-01,March,2014-03
52,2014,4,2014-04-01,April,2014-04
53,2014,5,2014-05-01,May,2014-05
54,2014,6,2014-06-01,June,2014-06
55,2014,7,2014-07-01,July,2014-07
56,2014,8,2014-08-01,August,2014-08
57,2014,9,2014-09-01,September,2014-09
58,2014,10,2014-10-01,October,2014-10
59,2014,11,2014-11-01,November,2014-11
60,2014,12,2014-12-01,December,2014-12
61,2015,1,2015-01-01,January,2015-01
62,2015,2,2015-02-01,February,2015-02
63,2015,3,2015-03-01,March,2015-03
64,2015,4,2015-04-01,April,2015-04
65,2015,5,2015-05-01,May,2015-05
66,2015,6,2015-06-01,June,2015-06
67,2015,7,2015-07-01,July,2015-07
68,2015,8,2015-08-01,August,2015-08
