country,year,month,coal,combustible_renewables,geothermal,hydro,natural_gas,not_specified,nuclear,oil,other_combustible_non-renewables,other_renewables,solar,wind
Argentina,2015,1,195.203,56.234,0.0,2519.945,6767.06,,559.079,1856.738,0.0,0.0,1.511,51.294
Argentina,2015,2,203.211,49.518,0.0,2032.279,6673.424,,610.064,1670.965,0.0,0.0,1.262,42.504
Argentina,2015,3,247.979,86.054,0.0,2142.899,7363.379,,631.876,1903.254,0.0,0.0,1.313,41.142
Argentina,2015,4,254.968,103.722,0.0,1890.171,6962.605,,356.188,1383.536,0.0,0.0,1.192,44.253
Argentina,2015,5,280.55,68.275,0.0,1827.25,7112.067,,339.552,1902.151,0.0,0.0,1.123,47.972
Argentina,2015,6,209.232,102.177,0.0,2736.168,6294.628,,424.153,2220.845,0.0,0.0,0.975,55.032
Argentina,2015,7,267.781,125.307,0.0,3158.168,5653.678,,880.549,1969.849,0.0,0.0,1.04,52.493
Argentina,2015,8,214.414,116.145,0.0,3343.331,5303.498,,607.935,1645.941,0.0,0.0,1.12,51.677
Argentina,2015,9,99.689,120.185,0.0,3460.589,5331.615,,383.907,1606.297,0.0,0.0,1.36,48.779
Argentina,2015,10,269.088,123.486,0.0,3402.642,5023.479,,247.742,1646.181,0.0,0.0,1.214,52.399
Argentina,2015,11,277.518,93.069,0.0,2461.563,5170.796,,626.515,1228.492,0.0,0.0,1.337,45.764
Argentina,2015,12,228.149,76.337,0.0,2868.537,6265.463,,976.517,1675.46,0.0,0.0,1.465,55.301
Argentina,2016,1,202.149,45.439,0.0,2879.946,7360.184,,692.075,1754.471,0.0,,1.298,48.728
Argentina,2016,2,250.337,42.15,0.0,2642.561,7174.517,,672.296,1872.046,0.0,,1.32,44.432
Argentina,2016,3,156.701,47.548,0.0,2310.101,6515.623,,601.438,1253.15,0.0,,1.257,49.699
Argentina,2016,4,59.612,23.65,0.0,2367.2,6072.343,,717.686,1415.195,0.0,,0.823,51.064
Argentina,2016,5,46.442,212.249,0.0,2836.279,5918.271,,763.044,2003.11,0.0,,0.513,33.429
Argentina,2016,6,97.998,577.089,0.0,2444.729,6639.911,,702.222,1893.802,0.0,,0.751,41.783
Argentina,2016,7,263.314,23.406,0.0,2140.885,7208.433,,686.94,2116.562,0.0,,1.114,40.589
Argentina,2016,8,281.984,23.982,0.0,2023.766,6693.468,,504.066,1591.317,0.0,,1.297,44.938
Argentina,2016,9,281.148,43.329,0.0,2206.687,5981.143,,538.127,1378.108,0.0,,1.307,44.537
Argentina,2016,10,173.867,42.081,0.0,2346.972,6006.182,,754.59,1183.718,0.0,,1.348,44.446
