country,year,month,distribution_losses,final_consumption_calculated,net_electricity_production,total_exports,total_imports,used_for_pumped_storage
Argentina,2015,1,,,35518.346,,,
Argentina,2015,2,,,33289.134000000005,,,
Argentina,2015,3,,,36707.864,,,
Argentina,2015,4,,,32737.439,,,
Argentina,2015,5,,,34465.543,,,
Argentina,2015,6,,,35807.653999999995,,,
Argentina,2015,7,,,35571.353,,,
Argentina,2015,8,,,33360.395,,,
Argentina,2015,9,,,32893.541,,,
Argentina,2015,10,,,32174.437,,,
Argentina,2015,11,,,29181.718,,,
Argentina,2015,12,,,35541.507,,,
Argentina,2016,1,,,38306.233,,,
Argentina,2016,2,,,37468.833,,,
Argentina,2016,3,,,32252.663,,,
Argentina,2016,4,,,31428.685,,,
Argentina,2016,5,,,34889.218,,,
Argentina,2016,6,,,37069.719,,,
Argentina,2016,7,,,36780.194,,,
Argentina,2016,8,,,33014.37,,,
Argentina,2016,9,,,30928.36,,,
Argentina,2016,10,,,30947.105,,,
Argentina,2016,11,,,30565.355,,,
Argentina,2016,12,,,37184.88,,,
Argentina,2017,1,,,39202.205,,,
Argentina,2017,2,,,34557.633,,,
Argentina,2017,3,,,34647.859000000004,,,
Argentina,2017,4,,,30404.944,,,
Argentina,2017,5,,,32913.204,,,
Argentina,2017,6,,,35632.59,,,
Argentina,2017,7,,,38051.974,,,
Argentina,2017,8,,,34083.493,,,
Argentina,2017,9,,,31432.925,,,
Argentina,2017,10,,,30418.632,,,
Argentina,2017,11,,,30840.004999999997,,,
Argentina,2017,12,,,37093.149,,,
Argentina,2018,1,,,38439.2632,,,
Argentina,2018,2,,,35291.7968,,,
Argentina,2018,3,,,34603.567,,,
Argentina,2018,4,,,33616.3805,,,
Argentina,2018,5,,,32576.4349,,,
Argentina,2018,6,,,37544.6736,,,
Argentina,2018,7,,,39665.1511,,,
Argentina,2018,8,,,36100.6213,,,
Argentina,2018,9,,,31455.34,,,
Argentina,2018,10,,,30241.247199999998,,,
Argentina,2018,11,,,29756.0755,,,
Argentina,2018,12,,,33035.8854,,,
Argentina,2019,1,,,34325.546800000004,,,
Argentina,2019,2,,,32621.134299999998,,,
Argentina,2019,3,,,30045.8153,,,
Argentina,2019,4,,,28995.6761,,,
Argentina,2019,5,,,30803.0923,,,
Argentina,2019,6,,,32043.7137,,,
Argentina,2019,7,,,35511.7228,,,
Argentina,2019,8,,,33674.7651,,,
Argentina,2019,9,,,32181.8744,,,
Argentina,2019,10,,,33236.262,,,
Argentina,2019,11,,,32904.1947,,,
Argentina,2019,12,,,34624.580500000004,,,
Argentina,2020,1,,,36680.4165,,,
Argentina,2020,2,,,33008.309,,,
Argentina,2020,3,,,34997.2763,,,
Argentina,2020,4,,,27277.0479,,,
Argentina,2020,5,,,29712.4934,,,
Argentina,2020,6,,,33459.821299999996,,,
Argentina,2020,7,,,38401.594,,,
Argentina,2020,8,,,33171.7965,,,
Argentina,2020,9,,,31022.110399999998,,,
Argentina,2020,10,,,32221.2629,,,
Argentina,2020,11,,,35012.2632,,,
Argentina,2020,12,,,37087.163199999995,,,
Argentina,2021,1,,,39295.6912,,,
Argentina,2021,2,,,31956.1362,,,
Argentina,2021,3,,,34012.1236,,,
Argentina,2021,4,,,30557.8132,,,
Argentina,2021,5,,,34893.7015,,,
Argentina,2021,6,,,38409.1273,,,
Argentina,2021,7,,,39507.6351,,,
Argentina,2021,8,,,37986.2849,,,
Argentina,2021,9,,,34723.052599999995,,,
Argentina,2021,10,,,33861.1118,,,
Argentina,2021,11,,,33821.6032,,,
Argentina,2021,12,,,39373.9,,,
Argentina,2022,1,,,40748.8332,,,
Argentina,2022,2,,,32177.1653,,,
Argentina,2022,3,,,33605.6797,,,
Argentina,2022,4,,,30489.9984,,,
Argentina,2022,5,,,34060.0424,,,
Argentina,2022,6,,,38207.444599999995,,,
Argentina,2022,7,,,36214.9311,,,
Argentina,2022,8,,,33427.5259,,,
Argentina,2022,9,,,29354.8045,,,
Argentina,2022,10,,,30569.6334,,,
Argentina,2022,11,,,34523.1754,,,
Argentina,2022,12,,,36613.9151,,,
Argentina,2023,1,,,40239.9611,,,
Argentina,2023,2,,,34236.4339,,,
Argentina,2023,3,,,40885.6654,,,
