country,code_time,time,year,month,month_name,product,value,display_order,yeartodate,previousyeartodate,share
Norway,AUG2017,August 2017,2017,8,August,Distribution losses,681.423,19,9152.999,6109.258,0.061670247987662
Spain,AUG2020,August 2020,2020,8,August,Coal,396.823629,8,5909.539273,10539.981335,0.0173344139488885
Mexico,OCT2015,October 2015,2015,10,October,Oil,2737.094,9,30115.981,26796.818,0.1062348888777366
India,JUN2019,June 2019,2019,6,June,Electricity trade,0.0,21,0.0,0.0,0.0
Korea,APR2020,April 2020,2020,4,April,Total exports,0.0,16,0.0,0.0,0.0
Slovak Republic,JUN2021,June 2021,2021,6,June,Not specified,2.755102,13,28.653061,12.673469,0.0013081651126697
Portugal,MAY2015,May 2015,2015,5,May,Geothermal,16.0,4,182.0,76.25,0.0038533891400415
Norway,MAR2018,March 2018,2018,3,March,Non-renewables,278.260442,23,3292.679805,836.053,0.0198342684731635
Slovak Republic,FEB2011,February 2011,2011,2,February,Natural gas,249.217,10,2810.842,405.83,0.1098096219625412
Belgium,APR2010,April 2010,2010,4,April,Electricity trade,61.326,21,-551.001,,0.0082246543287463
Luxembourg,AUG2019,August 2019,2019,8,August,Combustible renewables,21.967498,11,268.282314,133.672597,0.1705133898411951
Norway,JAN2014,January 2014,2014,1,January,Non-renewables,295.951,23,3309.996,286.99,0.0203568570081966
IEA Total,SEP2020,September 2020,2020,9,September,Nuclear,134398.088922,6,1773073.964904,1423893.919645,0.1624252791821768
Australia,DEC2013,December 2013,2013,12,December,Net electricity production,19140.914,14,231363.001,236509.201,1.0
Japan,JUL2017,July 2017,2017,7,July,Not specified,1444.637,13,19046.059,11125.72,0.0151764346660768
Australia,JUL2015,July 2015,2015,7,July,Geothermal,0.0,4,0.498,0.581,0.0
Cyprus,DEC2015,December 2015,2015,12,December,Final consumption,330.779,20,4098.517,,0.9501566938882204
Poland,JUL2022,July 2022,2022,7,July,Final consumption,12261.615252,20,152749.717359,94439.233919,0.9505804665814084
Netherlands,JAN2021,January 2021,2021,1,January,Oil,124.444454,9,1485.987337,131.274871,0.0108901186684937
Austria,JAN2020,January 2020,2020,1,January,Other renewables aggregated,379.533662,25,4392.30938,396.52938,0.0673884604800839
