country,time,balance,product,value,year,month
Ireland,2024-01-01,Net Electricity Production,Wind,1181.1434,2024,1
Brazil,2017-09-01,Net Electricity Production,Solar,96.525,2017,9
Ireland,2019-04-01,Net Electricity Production,Other Combustible Non-Renewables,27.9546,2019,4
Netherlands,2015-12-01,Net Electricity Production,Combustible Renewables,441.342,2015,12
United States,2021-04-01,Total Imports,Electricity,3939.2927,2021,4
OECD Asia Oceania,2016-10-01,Net Electricity Production,Electricity,143921.8913,2016,10
Argentina,2017-07-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",222.81,2017,7
New Zealand,2020-04-01,Used for pumped storage,Electricity,0.0,2020,4
Portugal,2018-07-01,Net Electricity Production,Geothermal,16.9312,2018,7
Estonia,2016-07-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",701.0518,2016,7
Chile,2011-12-01,Net Electricity Production,Combustible Renewables,589.399,2011,12
OECD Asia Oceania,2020-08-01,Final Consumption (Calculated),Electricity,160746.6819,2020,8
Hungary,2024-10-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",967.9335,2024,10
France,2018-10-01,Net Electricity Production,Natural Gas,2561.7216,2018,10
Italy,2016-02-01,Net Electricity Production,Oil and Petroleum Products,921.436,2016,2
Poland,2015-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1577.271,2015,9
Denmark,2010-04-01,Net Electricity Production,Hydro,2.1,2010,4
Brazil,2018-01-01,Net Electricity Production,Wind,3426.5671,2018,1
Mexico,2022-03-01,Total Exports,Electricity,290.0253,2022,3
New Zealand,2019-07-01,Net Electricity Production,Other Renewables,0.0,2019,7
Australia,2018-12-01,Net Electricity Production,Nuclear,0.0,2018,12
Portugal,2021-07-01,Net Electricity Production,Combustible Renewables,337.3781,2021,7
Ireland,2021-04-01,Net Electricity Production,Wind,677.577,2021,4
IEA Total,2025-08-01,Net Electricity Production,Other Renewables,38.9113,2025,8
Costa Rica,2022-05-01,Final Consumption (Calculated),Electricity,907.0852,2022,5
Belgium,2016-06-01,Net Electricity Production,Natural Gas,1173.4996,2016,6
People's Republic of China,2019-12-01,Net Electricity Production,Nuclear,31216.0559,2019,12
Chile,2014-07-01,Net Electricity Production,Not Specified,24.25,2014,7
New Zealand,2025-05-01,Net Electricity Production,Natural Gas,516.8635,2025,5
Spain,2019-09-01,Total Imports,Electricity,1241.7243,2019,9
Germany,2022-09-01,Net Electricity Production,Wind,7901.5998,2022,9
Ireland,2020-07-01,Net Electricity Production,Not Specified,0.0,2020,7
Luxembourg,2014-04-01,Used for pumped storage,Electricity,120.716,2014,4
Canada,2016-09-01,Total Exports,Electricity,6063.2865,2016,9
Netherlands,2018-07-01,Distribution Losses,Electricity,477.2751,2018,7
India,2022-10-01,Net Electricity Production,Natural Gas,3739.1224,2022,10
Italy,2011-04-01,Net Electricity Production,Not Specified,64.5,2011,4
United Kingdom,2011-07-01,Net Electricity Production,Electricity,25944.972,2011,7
Belgium,2018-06-01,Net Electricity Production,Hydro,86.8137,2018,6
Finland,2025-07-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2556.942,2025,7
Luxembourg,2025-08-01,Net Electricity Production,Hydro,64.1672,2025,8
Canada,2021-03-01,Net Electricity Production,Nuclear,6604.8719,2021,3
OECD Europe,2010-06-01,Used for pumped storage,Electricity,4077.012,2010,6
Croatia,2015-06-01,Net Electricity Production,Solar,6.894,2015,6
OECD Asia Oceania,2023-07-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",54296.6668,2023,7
Germany,2015-12-01,Net Electricity Production,Not Specified,167.09,2015,12
Slovenia,2015-10-01,Net Electricity Production,Total Combustible Fuels,358.163,2015,10
Belgium,2023-01-01,Net Electricity Production,Not Specified,29.3203,2023,1
Korea,2012-07-01,Net Electricity Production,Electricity,44283.449,2012,7
Spain,2018-04-01,Net Electricity Production,Other Combustible Non-Renewables,71.9483,2018,4
Australia,2023-09-01,Used for pumped storage,Electricity,96.0726,2023,9
Latvia,2019-09-01,Net Electricity Production,Oil and Petroleum Products,0.0,2019,9
Korea,2011-09-01,Net Electricity Production,Not Specified,37.25,2011,9
OECD Europe,2020-08-01,Net Electricity Production,Hydro,48700.0846,2020,8
Poland,2010-09-01,Net Electricity Production,Not Specified,6.667,2010,9
OECD Total,2020-09-01,Net Electricity Production,Hydro,112311.8335,2020,9
Latvia,2015-09-01,Net Electricity Production,Total Combustible Fuels,269.181,2015,9
Slovenia,2019-05-01,Total Imports,Electricity,721.336,2019,5
Lithuania,2017-05-01,Net Electricity Production,Electricity,350.198,2017,5
New Zealand,2010-01-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2638.61,2010,1
Denmark,2024-02-01,Net Electricity Production,Electricity,3514.474,2024,2
United States,2011-03-01,Net Electricity Production,Nuclear,65659.85,2011,3
Slovak Republic,2021-03-01,Net Electricity Production,Natural Gas,441.614,2021,3
Hungary,2019-08-01,Net Electricity Production,Nuclear,1271.6902,2019,8
Mexico,2017-06-01,Final Consumption (Calculated),Electricity,23442.8265,2017,6
Greece,2018-12-01,Net Electricity Production,Other Renewables,0.0,2018,12
Argentina,2019-04-01,Net Electricity Production,Other Renewables,0.0,2019,4
Mexico,2015-07-01,Net Electricity Production,Wind,768.022,2015,7
Czech Republic,2016-02-01,Total Exports,Electricity,2119.13,2016,2
Poland,2013-06-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1095.714,2013,6
United Kingdom,2015-07-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6582.119,2015,7
OECD Total,2013-01-01,Net Electricity Production,Other Combustible Non-Renewables,4238.817,2013,1
Japan,2017-03-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",27258.6443,2017,3
Serbia,2022-01-01,Net Electricity Production,Other Combustible Non-Renewables,0.4717,2022,1
United Kingdom,2024-08-01,Net Electricity Production,Total Combustible Fuels,7920.0741,2024,8
Greece,2017-12-01,Net Electricity Production,Natural Gas,1342.697,2017,12
United Kingdom,2011-04-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",5796.427,2011,4
OECD Asia Oceania,2023-01-01,Net Electricity Production,Oil and Petroleum Products,7844.7659,2023,1
Belgium,2017-03-01,Distribution Losses,Electricity,338.2571,2017,3
Switzerland,2012-01-01,Net Electricity Production,Combustible Renewables,120.181,2012,1
OECD Americas,2024-10-01,Net Electricity Production,Natural Gas,172640.932,2024,10
Belgium,2025-04-01,Net Electricity Production,Wind,746.2593,2025,4
OECD Europe,2013-04-01,Net Electricity Production,Solar,8530.796,2013,4
Netherlands,2016-03-01,Net Electricity Production,Natural Gas,3979.268,2016,3
Latvia,2017-01-01,Net Electricity Production,Solar,0.0059,2017,1
People's Republic of China,2022-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",196186.377,2022,11
Norway,2014-04-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",11162.299,2014,4
Chile,2022-12-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5053.9,2022,12
Korea,2025-01-01,Net Electricity Production,Electricity,51164.2226,2025,1
OECD Europe,2021-06-01,Total Exports,Electricity,32096.0901,2021,6
OECD Asia Oceania,2011-09-01,Used for pumped storage,Electricity,1374.874,2011,9
OECD Europe,2021-12-01,Total Exports,Electricity,39092.8209,2021,12
Luxembourg,2025-05-01,Final Consumption (Calculated),Electricity,514.5219,2025,5
Austria,2018-09-01,Net Electricity Production,Not Specified,1.0614,2018,9
Croatia,2025-06-01,Net Electricity Production,Hydro,376.9191,2025,6
Japan,2023-08-01,Net Electricity Production,Nuclear,7793.7035,2023,8
United Kingdom,2024-01-01,Net Electricity Production,Wind,9390.4167,2024,1
India,2024-12-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",31176.9715,2024,12
France,2018-10-01,Net Electricity Production,Geothermal,9.5327,2018,10
Japan,2016-04-01,Final Consumption (Calculated),Electricity,74381.842,2016,4
Slovenia,2010-04-01,Net Electricity Production,Total Combustible Fuels,400.082,2010,4
Czech Republic,2017-12-01,Net Electricity Production,Nuclear,2315.4248,2017,12
Germany,2024-08-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22446.6676,2024,8
Croatia,2019-10-01,Net Electricity Production,Not Specified,0.0,2019,10
Luxembourg,2012-09-01,Net Electricity Production,Geothermal,0.0,2012,9
Hungary,2023-03-01,Net Electricity Production,Wind,73.0598,2023,3
United States,2020-11-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",71118.3639,2020,11
Greece,2024-08-01,Net Electricity Production,Wind,830.0356,2024,8
Korea,2019-09-01,Net Electricity Production,Combustible Renewables,596.2271,2019,9
Brazil,2016-10-01,Net Electricity Production,Solar,8.415,2016,10
OECD Americas,2012-10-01,Distribution Losses,Electricity,28789.885,2012,10
Germany,2013-03-01,Net Electricity Production,Natural Gas,7315.814,2013,3
France,2017-07-01,Net Electricity Production,Nuclear,28160.0843,2017,7
Belgium,2024-10-01,Net Electricity Production,Wind,881.4373,2024,10
OECD Europe,2014-08-01,Net Electricity Production,Not Specified,426.822,2014,8
India,2023-04-01,Net Electricity Production,Hydro,9244.5784,2023,4
Spain,2024-03-01,Total Imports,Electricity,1326.6713,2024,3
People's Republic of China,2015-05-01,Net Electricity Production,Natural Gas,11513.701,2015,5
Australia,2018-02-01,Net Electricity Production,Solar,906.7354,2018,2
Switzerland,2011-10-01,Final Consumption (Calculated),Electricity,4751.328,2011,10
Luxembourg,2020-03-01,Distribution Losses,Electricity,11.5076,2020,3
Netherlands,2021-02-01,Net Electricity Production,Geothermal,0.0,2021,2
Japan,2019-12-01,Net Electricity Production,Nuclear,5254.8174,2019,12
Chile,2012-02-01,Net Electricity Production,Total Combustible Fuels,3571.259,2012,2
IEA Total,2018-06-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",235986.4853,2018,6
IEA Total,2024-09-01,Net Electricity Production,Total Combustible Fuels,456932.1416,2024,9
OECD Americas,2015-11-01,Net Electricity Production,Electricity,390039.566,2015,11
Argentina,2015-09-01,Net Electricity Production,Wind,48.779,2015,9
France,2022-11-01,Net Electricity Production,Natural Gas,4089.3572,2022,11
Netherlands,2016-10-01,Net Electricity Production,Wind,766.122,2016,10
India,2024-05-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",37068.2257,2024,5
OECD Europe,2014-04-01,Net Electricity Production,Other Combustible Non-Renewables,1700.869,2014,4
Germany,2015-08-01,Net Electricity Production,Other Combustible Non-Renewables,548.105,2015,8
Mexico,2010-07-01,Net Electricity Production,Electricity,23728.03,2010,7
IEA Total,2017-05-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",209820.7696,2017,5
Netherlands,2021-02-01,Used for pumped storage,Electricity,0.0,2021,2
Hungary,2022-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",569.0041,2022,9
OECD Europe,2015-04-01,Distribution Losses,Electricity,18846.119,2015,4
People's Republic of China,2015-08-01,Net Electricity Production,Solar,3195.261,2015,8
Sweden,2025-02-01,Net Electricity Production,Total Combustible Fuels,1276.9528,2025,2
Switzerland,2017-10-01,Used for pumped storage,Electricity,366.0,2017,10
United States,2014-04-01,Net Electricity Production,Oil and Petroleum Products,2146.254,2014,4
Spain,2010-08-01,Final Consumption (Calculated),Electricity,20845.115,2010,8
Japan,2021-03-01,Distribution Losses,Electricity,3964.1197,2021,3
France,2020-08-01,Net Electricity Production,Hydro,3740.5118,2020,8
Czech Republic,2021-01-01,Distribution Losses,Electricity,356.2753,2021,1
People's Republic of China,2020-05-01,Net Electricity Production,Other Renewables,1.318,2020,5
Romania,2022-11-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",803.3773,2022,11
